Item_Identifier,Item_Weight,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,regular,Supermarket Type1,Supermarket Type2,Supermarket Type3,food,non-consumable
food,12.792854228644991,159.0262,OUT027,1,2,5887.6694,37,2,1,0,0,1,1,0
drinks,17.6,89.8856,OUT035,2,1,351.5424,18,2,0,1,0,0,0,0
food,19.0,188.4214,OUT017,1,1,2826.321,15,2,1,1,0,0,1,0
food,8.42,228.7352,OUT049,1,0,5954.9152,23,1,1,1,0,0,1,0
food,9.3,195.8136,OUT013,0,2,2332.9632,35,1,0,1,0,0,1,0
food,19.75,213.2902,OUT035,2,1,4247.804,18,1,0,1,0,0,1,0
food,6.78,185.324,OUT013,0,2,3914.904,35,2,0,1,0,0,1,0
non-consumable,12.792854228644991,116.2492,OUT019,2,0,115.8492,37,0,0,0,0,0,0,1
drinks,17.25,263.591,OUT045,1,1,788.973,20,1,0,1,0,0,0,0
food,15.3,215.0218,OUT046,2,0,1923.4962,25,2,1,1,0,0,1,0
food,15.7,168.279,OUT046,2,0,4074.696,25,1,1,1,0,0,1,0
food,17.85,121.7072,OUT035,2,1,2817.6656,18,1,0,1,0,0,1,0
food,12.792854228644991,184.2608,OUT027,1,2,6064.1064,37,1,1,0,0,1,1,0
non-consumable,15.3,104.0332,OUT010,1,2,205.0664,24,1,0,0,0,0,0,1
food,16.25,166.9474,OUT045,1,1,2863.6058,20,1,0,1,0,0,1,0
food,15.0,185.1266,OUT013,0,2,2213.1192,35,0,1,1,0,0,1,0
drinks,13.85,116.1492,OUT045,1,1,1274.3412,20,1,0,1,0,0,0,0
drinks,12.792854228644991,89.1856,OUT027,1,2,2109.2544,37,1,0,0,0,1,0,0
food,13.8,77.3012,OUT049,1,0,1593.9252,23,1,1,1,0,0,1,0
non-consumable,7.475,153.9656,OUT018,1,2,2625.9152,13,2,0,0,1,0,0,1
food,18.7,228.601,OUT017,1,1,4823.721,15,2,1,1,0,0,1,0
food,12.5,119.244,OUT010,1,2,119.844,24,0,0,0,0,0,1,0
food,15.85,38.3164,OUT046,2,0,540.6296,25,1,0,1,0,0,1,0
food,12.792854228644991,169.5474,OUT027,1,2,4211.185,37,1,0,0,0,1,1,0
food,20.75,161.3578,OUT018,1,2,4492.8184,13,2,0,0,1,0,1,0
non-consumable,5.82,168.379,OUT035,2,1,1188.453,18,2,0,1,0,0,0,1
food,5.785,89.8856,OUT010,1,2,175.7712,24,2,1,0,0,0,1,0
food,13.1,195.7768,OUT049,1,0,4138.6128,23,2,1,1,0,0,1,0
food,10.1,225.1088,OUT013,0,2,3579.3408,35,1,1,1,0,0,1,0
non-consumable,16.75,192.1162,OUT035,2,1,3848.324,18,1,0,1,0,0,0,1
food,12.792854228644991,98.9042,OUT027,1,2,4960.21,37,2,0,0,0,1,1,0
food,17.1,208.5638,OUT049,1,0,5383.6588,23,1,1,1,0,0,1,0
food,7.42,248.9092,OUT046,2,0,2241.0828,25,1,0,1,0,0,1,0
food,7.51,113.7544,OUT046,2,0,671.1264,25,2,0,1,0,0,1,0
food,12.792854228644991,179.6686,OUT019,2,0,177.7686,37,1,0,0,0,0,1,0
food,12.792854228644991,242.417,OUT019,2,0,486.034,37,1,0,0,0,0,1,0
food,19.2,181.195,OUT035,2,1,2380.235,18,1,1,1,0,0,1,0
food,18.6,99.9358,OUT046,2,0,201.0716,25,0,0,1,0,0,1,0
non-consumable,7.105,59.2562,OUT018,1,2,651.8182,13,1,0,0,1,0,0,1
food,4.92,199.8084,OUT017,1,1,3968.168,15,1,0,1,0,0,1,0
food,11.0,221.5798,OUT035,2,1,4187.2162,18,0,1,1,0,0,1,0
food,13.15,181.3976,OUT017,1,1,3078.6592,15,1,0,1,0,0,1,0
food,7.52,182.995,OUT018,1,2,4394.28,13,1,1,0,1,0,1,0
food,8.895,162.1236,OUT049,1,0,2577.9776,23,0,1,1,0,0,1,0
food,4.805,126.7704,OUT013,0,2,2628.5784,35,1,1,1,0,0,1,0
food,7.785,62.751,OUT018,1,2,1707.777,13,2,0,0,1,0,1,0
food,8.975,86.0224,OUT017,1,1,1278.336,15,1,1,1,0,0,1,0
non-consumable,12.792854228644991,262.891,OUT027,1,2,5522.811,37,2,0,0,0,1,0,1
food,9.3,182.9292,OUT017,1,1,4013.4424,15,1,0,1,0,0,1,0
food,10.895,263.7568,OUT049,1,0,7646.0472,23,0,0,1,0,0,1,0
food,15.0,220.9456,OUT018,1,2,1768.3648,13,1,1,0,1,0,1,0
non-consumable,12.15,224.4404,OUT018,1,2,5626.01,13,1,0,0,1,0,0,1
food,16.7,180.3976,OUT013,0,2,3078.6592,35,2,1,1,0,0,1,0
food,15.1,257.3304,OUT018,1,2,3874.956,13,2,1,0,1,0,1,0
non-consumable,8.02,157.7972,OUT013,0,2,1713.7692,35,1,0,1,0,0,0,1
food,19.35,78.2644,OUT049,1,0,1492.7236,23,1,1,1,0,0,1,0
food,20.7,119.7466,OUT017,1,1,4006.7844,15,2,1,1,0,0,1,0
food,12.792854228644991,147.476,OUT027,1,2,3368.948,37,0,0,0,0,1,1,0
drinks,4.59,114.586,OUT046,2,0,1245.046,25,2,0,1,0,0,0,0
food,18.1,95.5094,OUT010,1,2,95.2094,24,1,0,0,0,0,1,0
non-consumable,12.85,185.1608,OUT049,1,0,2388.8904,23,1,0,1,0,0,0,1
non-consumable,16.75,34.0532,OUT017,1,1,575.2512,15,2,0,1,0,0,0,1
food,14.85,154.463,OUT017,1,1,3755.112,15,1,1,1,0,0,1,0
food,8.235,149.1076,OUT045,1,1,1182.4608,20,2,0,1,0,0,1,0
food,6.425,131.3626,OUT013,0,2,262.3252,35,1,0,1,0,0,1,0
food,6.59,83.4908,OUT046,2,0,1342.2528,25,2,0,1,0,0,1,0
food,12.792854228644991,247.0092,OUT027,1,2,5478.2024,37,1,1,0,0,1,1,0
non-consumable,12.792854228644991,123.0414,OUT027,1,2,4629.9732,37,1,0,0,0,1,0,1
non-consumable,6.36,163.0526,OUT017,1,1,1644.526,15,1,0,1,0,0,0,1
food,17.35,89.383,OUT017,1,1,1258.362,15,1,1,1,0,0,1,0
non-consumable,8.6,90.5146,OUT017,1,1,729.7168,15,2,0,1,0,0,0,1
food,17.7,96.541,OUT018,1,2,2220.443,13,1,0,0,1,0,1,0
food,7.6,171.9448,OUT046,2,0,3749.7856,25,0,1,1,0,0,1,0
drinks,19.6,48.7718,OUT046,2,0,236.359,25,1,0,1,0,0,0,0
non-consumable,12.792854228644991,61.3194,OUT027,1,2,2043.3402,37,2,0,0,0,1,0,1
food,9.3,184.2292,OUT045,1,1,1641.8628,20,2,0,1,0,0,1,0
non-consumable,20.2,91.4462,OUT045,1,1,1943.4702,20,2,0,1,0,0,0,1
food,11.35,171.179,OUT046,2,0,4923.591,25,1,1,1,0,0,1,0
food,16.5,90.3146,OUT017,1,1,2554.0088,15,1,0,1,0,0,1,0
non-consumable,17.1,165.0842,OUT013,0,2,2320.9788,35,1,0,1,0,0,0,1
food,4.88,53.1298,OUT035,2,1,808.947,18,1,1,1,0,0,1,0
food,10.195,148.7076,OUT017,1,1,1330.2684,15,2,0,1,0,0,1,0
food,12.8,223.2404,OUT018,1,2,2475.4444,13,1,1,0,1,0,1,0
food,12.792854228644991,180.4002,OUT019,2,0,716.4008,37,2,0,0,0,0,1,0
food,8.05,258.5646,OUT018,1,2,3091.9752,13,2,1,0,1,0,1,0
food,20.6,178.0344,OUT018,1,2,1605.9096,13,1,1,0,1,0,1,0
food,6.32,39.9822,OUT018,1,2,78.5644,13,1,0,0,1,0,1,0
food,5.465,131.2626,OUT013,0,2,3410.2276,35,1,1,1,0,0,1,0
food,18.25,226.2062,OUT010,1,2,677.1186,24,0,0,0,0,0,1,0
food,14.5,102.0332,OUT049,1,0,2050.664,23,2,1,1,0,0,1,0
non-consumable,15.7,57.5562,OUT018,1,2,829.5868,13,0,0,0,1,0,0,1
non-consumable,9.6,166.9184,OUT010,1,2,660.4736,24,1,0,0,0,0,0,1
food,20.7,94.9436,OUT049,1,0,1229.0668,23,2,1,1,0,0,1,0
food,6.055,159.9578,OUT046,2,0,2727.7826,25,1,0,1,0,0,1,0
food,5.655,165.05,OUT046,2,0,2330.3,25,2,0,1,0,0,1,0
food,6.78,186.424,OUT018,1,2,1304.968,13,2,0,0,1,0,1,0
food,12.792854228644991,241.3854,OUT019,2,0,483.3708,37,2,0,0,0,0,1,0
food,6.865,244.4486,OUT017,1,1,4153.9262,15,1,1,1,0,0,1,0
food,6.61,188.4898,OUT010,1,2,187.0898,24,1,1,0,0,0,1,0
food,12.792854228644991,120.9756,OUT027,1,2,3877.6192,37,2,0,0,0,1,1,0
non-consumable,12.6,121.9414,OUT045,1,1,1462.0968,20,1,0,1,0,0,0,1
food,6.055,160.3578,OUT018,1,2,1765.0358,13,1,0,0,1,0,1,0
non-consumable,20.2,188.3898,OUT045,1,1,3554.7062,20,2,0,1,0,0,0,1
drinks,14.15,40.5138,OUT046,2,0,446.7518,25,1,0,1,0,0,0,0
food,16.5,184.4292,OUT013,0,2,3101.2964,35,2,1,1,0,0,1,0
food,13.3,61.0536,OUT035,2,1,1898.8616,18,2,1,1,0,0,1,0
food,9.195,181.7634,OUT049,1,0,6179.9556,23,2,0,1,0,0,1,0
food,12.792854228644991,207.5954,OUT027,1,2,6668.6528,37,1,0,0,0,1,1,0
food,9.0,168.6816,OUT035,2,1,1342.2528,18,2,0,1,0,0,1,0
food,15.7,207.898,OUT035,2,1,3095.97,18,1,1,1,0,0,1,0
non-consumable,18.1,128.7336,OUT049,1,0,2173.1712,23,1,0,1,0,0,0,1
food,12.792854228644991,59.822,OUT027,1,2,1677.816,37,2,0,0,0,1,1,0
food,15.7,253.1724,OUT049,1,0,5285.1204,23,1,1,1,0,0,1,0
food,9.195,107.1596,OUT013,0,2,2804.3496,35,2,1,1,0,0,1,0
food,12.792854228644991,146.6076,OUT027,1,2,1773.6912,37,2,0,0,0,1,1,0
food,13.85,234.93,OUT045,1,1,4660.6,20,1,1,1,0,0,1,0
non-consumable,20.2,61.451,OUT018,1,2,126.502,13,2,0,0,1,0,0,1
food,13.65,55.5588,OUT046,2,0,1603.2464,25,1,1,1,0,0,1,0
food,15.0,238.7248,OUT013,0,2,2133.2232,35,2,1,1,0,0,1,0
non-consumable,10.695,36.0848,OUT018,1,2,372.848,13,1,0,0,1,0,0,1
food,12.792854228644991,109.157,OUT027,1,2,1867.569,37,0,1,0,0,1,1,0
food,14.0,54.864,OUT018,1,2,319.584,13,0,1,0,1,0,1,0
food,6.655,210.0586,OUT046,2,0,4221.172,25,1,0,1,0,0,1,0
food,16.5,101.199,OUT046,2,0,1031.99,25,2,1,1,0,0,1,0
food,9.6,257.8304,OUT046,2,0,1808.3128,25,1,1,1,0,0,1,0
food,6.55,155.8288,OUT049,1,0,1099.9016,23,1,1,1,0,0,1,0
food,16.25,89.8804,OUT017,1,1,1102.5648,15,1,0,1,0,0,1,0
food,15.25,179.866,OUT013,0,2,2696.49,35,2,1,1,0,0,1,0
food,9.695,174.537,OUT035,2,1,1235.059,18,1,1,1,0,0,1,0
food,12.792854228644991,74.7696,OUT019,2,0,74.5696,37,1,0,0,0,0,1,0
food,16.0,225.0404,OUT046,2,0,4950.8888,25,1,0,1,0,0,1,0
food,15.85,218.3166,OUT010,1,2,435.4332,24,2,0,0,0,0,1,0
food,12.792854228644991,98.241,OUT027,1,2,2220.443,37,2,0,0,0,1,1,0
non-consumable,18.85,193.9136,OUT049,1,0,3110.6176,23,0,0,1,0,0,0,1
food,6.215,224.5062,OUT045,1,1,4514.124,20,1,1,1,0,0,1,0
food,12.792854228644991,167.7132,OUT027,1,2,3889.6036,37,0,0,0,0,1,1,0
non-consumable,11.8,80.8618,OUT049,1,0,1288.9888,23,1,0,1,0,0,0,1
food,7.325,90.3146,OUT018,1,2,1733.0774,13,2,0,0,1,0,1,0
drinks,10.5,159.2946,OUT049,1,0,1893.5352,23,1,0,1,0,0,0,0
food,15.7,61.9536,OUT045,1,1,1225.072,20,1,1,1,0,0,1,0
food,12.792854228644991,124.973,OUT027,1,2,2463.46,37,1,0,0,0,1,1,0
food,13.0,63.4484,OUT045,1,1,1043.9744,20,2,1,1,0,0,1,0
food,13.5,264.491,OUT049,1,0,6574.775,23,2,1,1,0,0,1,0
drinks,6.865,128.9652,OUT018,1,2,1679.1476,13,1,0,0,1,0,0,0
food,7.785,103.0306,OUT013,0,2,2404.2038,35,0,0,1,0,0,1,0
food,17.7,46.9034,OUT035,2,1,972.068,18,1,1,1,0,0,1,0
non-consumable,20.2,93.6462,OUT010,1,2,277.6386,24,2,0,0,0,0,0,1
food,7.855,189.5188,OUT046,2,0,1904.188,25,1,0,1,0,0,1,0
food,6.36,45.906,OUT035,2,1,419.454,18,2,0,1,0,0,1,0
food,17.0,229.4352,OUT046,2,0,4809.7392,25,1,1,1,0,0,1,0
food,5.78,163.5552,OUT046,2,0,1787.0072,25,2,0,1,0,0,1,0
food,11.5,187.953,OUT045,1,1,2656.542,20,2,0,1,0,0,1,0
food,12.792854228644991,158.1946,OUT027,1,2,6942.9624,37,1,1,0,0,1,1,0
food,18.2,147.3734,OUT018,1,2,2375.5744,13,1,0,0,1,0,1,0
food,18.25,223.8062,OUT013,0,2,4288.4178,35,2,0,1,0,0,1,0
food,12.6,60.4194,OUT013,0,2,990.7104,35,1,0,1,0,0,1,0
food,8.575,195.3794,OUT049,1,0,3511.4292,23,2,1,1,0,0,1,0
food,18.2,37.719,OUT018,1,2,549.285,13,0,0,0,1,0,1,0
food,8.115,155.2972,OUT010,1,2,311.5944,24,1,1,0,0,0,1,0
food,12.65,52.4324,OUT045,1,1,571.2564,20,2,0,1,0,0,1,0
food,12.792854228644991,40.0454,OUT027,1,2,419.454,37,1,0,0,0,1,1,0
drinks,8.775,41.9428,OUT046,2,0,1537.998,25,2,0,1,0,0,0,0
food,5.94,187.7556,OUT035,2,1,3755.112,18,1,1,1,0,0,1,0
food,18.85,131.5284,OUT035,2,1,1581.9408,18,1,0,1,0,0,1,0
food,9.8,49.2008,OUT013,0,2,657.8104,35,1,1,1,0,0,1,0
food,12.65,238.3538,OUT017,1,1,5528.1374,15,0,1,1,0,0,1,0
non-consumable,20.7,149.8366,OUT018,1,2,2267.049,13,1,0,0,1,0,0,1
drinks,14.65,55.2614,OUT013,0,2,718.3982,35,0,0,1,0,0,0,0
food,12.792854228644991,222.8456,OUT027,1,2,7073.4592,37,1,0,0,0,1,1,0
food,15.85,55.8956,OUT018,1,2,491.3604,13,1,0,0,1,0,1,0
food,17.25,61.5194,OUT017,1,1,1052.6298,15,0,1,1,0,0,1,0
food,16.0,87.4856,OUT017,1,1,263.6568,15,2,1,1,0,0,1,0
food,6.32,40.2822,OUT046,2,0,628.5152,25,1,0,1,0,0,1,0
non-consumable,6.525,86.7882,OUT035,2,1,1975.4286,18,2,0,1,0,0,0,1
food,6.695,191.882,OUT013,0,2,3861.64,35,1,0,1,0,0,1,0
food,14.85,157.963,OUT045,1,1,2816.334,20,1,1,1,0,0,1,0
food,17.1,150.7392,OUT049,1,0,3131.9232,23,1,0,1,0,0,1,0
food,10.3,115.0176,OUT013,0,2,4122.6336,35,1,1,1,0,0,1,0
food,19.7,179.166,OUT013,0,2,3056.022,35,2,0,1,0,0,1,0
food,10.695,73.5038,OUT049,1,0,1478.076,23,1,1,1,0,0,1,0
non-consumable,7.285,177.1054,OUT045,1,1,2626.581,20,1,0,1,0,0,0,1
non-consumable,17.7,127.3678,OUT018,1,2,3306.3628,13,1,0,0,1,0,0,1
food,18.25,198.0084,OUT049,1,0,793.6336,23,1,0,1,0,0,1,0
food,5.175,106.7622,OUT010,1,2,211.7244,24,1,1,0,0,0,1,0
food,5.635,148.705,OUT049,1,0,1198.44,23,1,0,1,0,0,1,0
food,14.8,191.4846,OUT018,1,2,3057.3536,13,2,0,0,1,0,1,0
food,18.25,111.657,OUT046,2,0,1537.998,25,0,1,1,0,0,1,0
food,16.1,179.4318,OUT018,1,2,360.8636,13,1,1,0,1,0,1,0
food,16.75,170.4106,OUT018,1,2,513.3318,13,1,0,0,1,0,1,0
food,17.7,184.3924,OUT046,2,0,4257.1252,25,1,1,1,0,0,1,0
non-consumable,8.88,208.927,OUT049,1,0,7130.718,23,2,0,1,0,0,0,1
food,11.15,44.9744,OUT013,0,2,498.0184,35,2,0,1,0,0,1,0
food,20.0,45.3086,OUT017,1,1,490.6946,15,1,0,1,0,0,1,0
non-consumable,7.935,263.091,OUT013,0,2,5522.811,35,1,0,1,0,0,0,1
food,20.1,110.7228,OUT045,1,1,1657.842,20,2,0,1,0,0,1,0
food,13.65,114.7834,OUT035,2,1,3455.502,18,1,1,1,0,0,1,0
food,6.635,36.7506,OUT018,1,2,75.9012,13,1,1,0,1,0,1,0
food,18.25,226.1062,OUT045,1,1,6771.186,20,2,0,1,0,0,1,0
non-consumable,11.15,66.0142,OUT017,1,1,988.713,15,2,0,1,0,0,0,1
non-consumable,19.5,185.6608,OUT035,2,1,918.804,18,1,0,1,0,0,0,1
food,6.48,148.2076,OUT049,1,0,3399.5748,23,1,0,1,0,0,1,0
food,11.15,102.7648,OUT013,0,2,1142.5128,35,2,1,1,0,0,1,0
food,5.985,125.8678,OUT013,0,2,3560.6984,35,2,0,1,0,0,1,0
non-consumable,7.27,99.3384,OUT017,1,1,2759.0752,15,1,0,1,0,0,0,1
food,6.78,227.5694,OUT049,1,0,3653.9104,23,1,1,1,0,0,1,0
food,9.195,50.7666,OUT018,1,2,512.666,13,1,1,0,1,0,1,0
drinks,19.5,232.8958,OUT013,0,2,5608.6992,35,2,1,1,0,0,0,0
food,6.59,83.9908,OUT018,1,2,1426.1436,13,2,0,0,1,0,1,0
food,7.51,229.601,OUT046,2,0,6201.927,25,1,0,1,0,0,1,0
non-consumable,12.792854228644991,254.1014,OUT019,2,0,255.0014,37,2,0,0,0,0,0,1
food,12.792854228644991,215.0192,OUT019,2,0,1078.596,37,0,0,0,0,0,1,0
food,12.792854228644991,55.7298,OUT027,1,2,1024.6662,37,1,0,0,0,1,1,0
food,12.5,220.0798,OUT035,2,1,1322.2788,18,2,0,1,0,0,1,0
non-consumable,17.0,123.773,OUT018,1,2,1231.73,13,1,0,0,1,0,0,1
non-consumable,12.792854228644991,46.4086,OUT027,1,2,2007.387,37,2,0,0,0,1,0,1
food,12.65,53.5324,OUT017,1,1,830.9184,15,2,0,1,0,0,1,0
food,12.5,82.7592,OUT035,2,1,577.9144,18,2,1,1,0,0,1,0
food,18.7,184.2292,OUT018,1,2,1277.0044,13,2,1,0,1,0,1,0
food,11.0,218.4798,OUT046,2,0,2203.798,25,0,1,1,0,0,1,0
non-consumable,12.792854228644991,248.6776,OUT019,2,0,495.3552,37,1,0,0,0,0,0,1
food,7.35,40.5454,OUT045,1,1,545.2902,20,1,0,1,0,0,1,0
food,10.895,264.5568,OUT013,0,2,5536.7928,35,0,0,1,0,0,1,0
food,17.2,165.3184,OUT013,0,2,990.7104,35,1,1,1,0,0,1,0
food,15.5,83.7934,OUT017,1,1,1474.0812,15,1,1,1,0,0,1,0
drinks,7.905,229.4694,OUT045,1,1,2055.3246,20,1,0,1,0,0,0,0
drinks,9.8,45.006,OUT017,1,1,792.302,15,1,0,1,0,0,0,0
food,11.6,79.2276,OUT018,1,2,649.8208,13,2,1,0,1,0,1,0
food,12.792854228644991,59.422,OUT027,1,2,1078.596,37,2,1,0,0,1,1,0
food,12.792854228644991,60.1194,OUT027,1,2,1114.5492,37,1,0,0,0,1,1,0
non-consumable,5.825,159.7894,OUT035,2,1,1294.3152,18,2,0,1,0,0,0,1
food,16.35,196.3426,OUT018,1,2,1384.1982,13,1,0,0,1,0,1,0
drinks,14.7,141.8128,OUT035,2,1,1869.5664,18,1,0,1,0,0,0,0
drinks,11.6,141.9154,OUT035,2,1,992.7078,18,1,0,1,0,0,0,0
food,16.75,155.163,OUT013,0,2,2972.797,35,2,0,1,0,0,1,0
food,12.5,197.2742,OUT013,0,2,2587.9646,35,1,0,1,0,0,1,0
food,12.6,253.0356,OUT010,1,2,254.3356,24,2,1,0,0,0,1,0
non-consumable,12.35,117.6124,OUT013,0,2,3910.9092,35,0,0,1,0,0,0,1
food,13.35,93.0804,OUT045,1,1,2113.2492,20,2,0,1,0,0,1,0
food,12.792854228644991,165.65,OUT019,2,0,665.8,37,0,1,0,0,0,1,0
food,12.792854228644991,223.4772,OUT027,1,2,7116.0704,37,1,1,0,0,1,1,0
drinks,12.792854228644991,129.3336,OUT019,2,0,127.8336,37,0,0,0,0,0,0,0
food,6.63,166.85,OUT013,0,2,5326.4,35,2,1,1,0,0,1,0
food,6.61,188.4898,OUT018,1,2,4677.245,13,1,1,0,1,0,1,0
food,19.6,166.8816,OUT035,2,1,1845.5976,18,2,1,1,0,0,1,0
food,13.6,234.53,OUT017,1,1,6524.84,15,2,1,1,0,0,1,0
food,12.792854228644991,252.5724,OUT027,1,2,3271.7412,37,2,0,0,0,1,1,0
food,19.25,197.511,OUT017,1,1,982.055,15,1,1,1,0,0,1,0
drinks,12.792854228644991,86.7882,OUT019,2,0,85.8882,37,2,0,0,0,0,0,0
food,20.0,168.7132,OUT045,1,1,6426.3016,20,1,1,1,0,0,1,0
food,12.792854228644991,217.0824,OUT027,1,2,6769.8544,37,1,0,0,0,1,1,0
food,20.75,161.0578,OUT010,1,2,481.3734,24,0,0,0,0,0,1,0
food,7.235,114.8834,OUT049,1,0,3340.3186,23,1,0,1,0,0,1,0
non-consumable,12.792854228644991,36.6874,OUT027,1,2,1058.622,37,1,0,0,0,1,0,1
food,6.78,187.724,OUT049,1,0,1491.392,23,2,0,1,0,0,1,0
food,7.3,146.3076,OUT010,1,2,886.8456,24,0,0,0,0,0,1,0
non-consumable,12.3,188.753,OUT013,0,2,3795.06,35,1,0,1,0,0,0,1
food,16.85,145.276,OUT018,1,2,2490.092,13,0,0,0,1,0,1,0
food,14.65,49.8666,OUT049,1,0,563.9326,23,2,1,1,0,0,1,0
food,15.6,123.7704,OUT035,2,1,3129.26,18,1,0,1,0,0,1,0
non-consumable,17.35,176.2712,OUT018,1,2,1230.3984,13,0,0,0,1,0,0,1
food,16.0,141.3154,OUT049,1,0,3261.7542,23,2,0,1,0,0,1,0
food,17.0,170.9106,OUT018,1,2,1197.7742,13,0,0,0,1,0,1,0
food,11.5,100.5358,OUT045,1,1,2111.2518,20,2,1,1,0,0,1,0
food,5.695,256.5988,OUT046,2,0,2055.9904,25,2,1,1,0,0,1,0
drinks,15.2,36.0848,OUT046,2,0,1193.1136,25,2,0,1,0,0,0,0
food,9.1,126.5362,OUT013,0,2,1761.7068,35,0,0,1,0,0,1,0
food,16.85,146.076,OUT017,1,1,2636.568,15,1,0,1,0,0,1,0
non-consumable,11.15,65.9142,OUT045,1,1,790.9704,20,2,0,1,0,0,0,1
food,17.0,247.4434,OUT013,0,2,2980.1208,35,2,0,1,0,0,1,0
food,7.47,215.2218,OUT017,1,1,3419.5488,15,0,1,1,0,0,1,0
food,20.7,37.3506,OUT046,2,0,834.9132,25,1,0,1,0,0,1,0
food,15.6,173.2764,OUT035,2,1,3779.0808,18,2,1,1,0,0,1,0
food,17.7,100.7674,OUT045,1,1,814.9392,20,2,1,1,0,0,1,0
non-consumable,13.0,60.0194,OUT049,1,0,1114.5492,23,2,0,1,0,0,0,1
food,14.0,146.3786,OUT045,1,1,866.8716,20,1,1,1,0,0,1,0
food,18.85,119.044,OUT046,2,0,2396.88,25,2,1,1,0,0,1,0
drinks,15.7,182.4634,OUT035,2,1,1999.3974,18,1,0,1,0,0,0,0
non-consumable,15.85,44.0112,OUT046,2,0,468.7232,25,1,0,1,0,0,0,1
food,6.175,94.3752,OUT046,2,0,1342.2528,25,0,1,1,0,0,1,0
food,12.792854228644991,216.4824,OUT019,2,0,218.3824,37,1,0,0,0,0,1,0
food,16.0,48.3718,OUT035,2,1,614.5334,18,1,1,1,0,0,1,0
non-consumable,13.15,158.1604,OUT017,1,1,1426.1436,15,2,0,1,0,0,0,1
food,16.5,102.7332,OUT045,1,1,1537.998,20,2,1,1,0,0,1,0
non-consumable,14.65,57.0614,OUT017,1,1,939.4438,15,1,0,1,0,0,0,1
food,13.5,261.491,OUT013,0,2,3418.883,35,2,1,1,0,0,1,0
food,10.1,50.6008,OUT049,1,0,404.8064,23,1,0,1,0,0,1,0
food,11.85,51.4666,OUT017,1,1,974.0654,15,1,1,1,0,0,1,0
food,9.285,161.0578,OUT045,1,1,2406.867,20,1,1,1,0,0,1,0
food,12.8,223.5404,OUT035,2,1,5626.01,18,1,1,1,0,0,1,0
non-consumable,6.235,260.8962,OUT049,1,0,5956.9126,23,1,0,1,0,0,0,1
food,12.15,246.846,OUT045,1,1,6404.996,20,0,0,1,0,0,1,0
non-consumable,12.792854228644991,44.077,OUT019,2,0,216.385,37,2,0,0,0,0,0,1
food,12.35,78.2328,OUT049,1,0,1158.492,23,0,1,1,0,0,1,0
food,16.2,260.3278,OUT018,1,2,2342.9502,13,1,0,0,1,0,1,0
non-consumable,7.285,174.6054,OUT017,1,1,2976.7918,15,1,0,1,0,0,0,1
food,7.05,224.7088,OUT046,2,0,3131.9232,25,1,1,1,0,0,1,0
food,12.792854228644991,109.9254,OUT019,2,0,108.5254,37,1,0,0,0,0,1,0
food,14.5,262.3594,OUT046,2,0,4448.2098,25,1,1,1,0,0,1,0
drinks,13.35,75.7012,OUT017,1,1,1442.1228,15,1,0,1,0,0,0,0
food,11.5,128.4652,OUT049,1,0,2841.6344,23,1,0,1,0,0,1,0
drinks,12.1,180.666,OUT049,1,0,2876.256,23,1,0,1,0,0,0,0
food,11.8,124.5704,OUT018,1,2,1001.3632,13,2,1,0,1,0,1,0
food,7.05,107.4912,OUT018,1,2,982.7208,13,2,0,0,1,0,1,0
food,12.792854228644991,195.7768,OUT027,1,2,3547.3824,37,1,0,0,0,1,1,0
non-consumable,18.75,207.0954,OUT046,2,0,3125.931,25,1,0,1,0,0,0,1
food,19.25,196.311,OUT045,1,1,3142.576,20,1,1,1,0,0,1,0
food,16.2,100.57,OUT013,0,2,1398.18,35,1,0,1,0,0,1,0
food,8.31,176.0028,OUT018,1,2,4427.57,13,2,1,0,1,0,1,0
food,13.1,73.8354,OUT017,1,1,1956.1204,15,2,0,1,0,0,1,0
food,13.5,180.5976,OUT046,2,0,3078.6592,25,1,0,1,0,0,1,0
food,11.15,169.679,OUT046,2,0,1018.674,25,2,1,1,0,0,1,0
non-consumable,7.5,56.2588,OUT018,1,2,687.1056,13,2,0,0,1,0,0,1
drinks,12.792854228644991,156.5946,OUT027,1,2,3787.0704,37,1,0,0,0,1,0,0
food,15.6,169.9764,OUT018,1,2,2748.4224,13,2,1,0,1,0,1,0
food,12.792854228644991,111.1912,OUT019,2,0,109.1912,37,0,0,0,0,0,1,0
food,6.78,186.524,OUT017,1,1,2609.936,15,2,0,1,0,0,1,0
food,16.0,141.1496,OUT035,2,1,4516.7872,18,1,0,1,0,0,1,0
food,12.792854228644991,89.1172,OUT027,1,2,2319.6472,37,1,1,0,0,1,1,0
drinks,10.5,159.6946,OUT018,1,2,3629.2758,13,1,0,0,1,0,0,0
food,17.1,148.8392,OUT018,1,2,2087.9488,13,1,0,0,1,0,1,0
drinks,7.535,121.644,OUT045,1,1,1557.972,20,1,0,1,0,0,0,0
food,15.1,146.6076,OUT035,2,1,2364.9216,18,1,0,1,0,0,1,0
food,15.1,149.0076,OUT017,1,1,4138.6128,15,1,0,1,0,0,1,0
food,10.0,264.7226,OUT018,1,2,3171.8712,13,1,0,0,1,0,1,0
food,20.85,224.0746,OUT017,1,1,2243.746,15,2,0,1,0,0,1,0
